census_village_code_2011,census_village_code_2001,source__census_2001_codes__stc_2001,source__census_2001_codes__dtc_2001,source__census_2001_codes__sub_dt_2001,source__census_2001_codes__plcn_2001,source__census_2001_codes__name_of_state_districts_sub_distts_villages_2001,source__mdds_e_governance_code_census_2011_plcn__mdds_stc,source__mdds_e_governance_code_census_2011_plcn__mdds_dtc,source__mdds_e_governance_code_census_2011_plcn__mdds_sub_dt,source__mdds_e_governance_code_census_2011_plcn__mdds_plcn,source__mdds_e_governance_code_census_2011_plcn__mdds_name_of_state_district_sub_distts_villages,source_sheet,source_2011_code_column,source_2001_code_column,village_name_2011,match_status,reference_year,source_id,observation_type,quality_class,source_sha256,source_file
353553,01079400,20,07,0002,01079400,Kadrakura,20,350,02546,353553,Kadrakura,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Kadrakura,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353554,01079500,20,07,0002,01079500,Postbari,20,350,02546,353554,Postbari,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Postbari,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353555,01079600,20,07,0002,01079600,Jhilighat,20,350,02546,353555,Jhilighat,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Jhilighat,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353556,01079700,20,07,0002,01079700,Udaipura,20,350,02546,353556,Udaipura,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Udaipura,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353557,01079800,20,07,0002,01079800,Randhiya,20,350,02546,353557,Randhiya,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Randhiya,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353558,01079900,20,07,0002,01079900,Goedaha,20,350,02546,353558,Goedaha,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Goedaha,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353559,01080000,20,07,0002,01080000,Jogikupa,20,350,02546,353559,Jogikupa,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Jogikupa,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353560,01080100,20,07,0002,01080100,Pharkasamra,20,350,02546,353560,Pharkasamra,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Pharkasamra,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353561,01080200,20,07,0002,01080200,Kulhariya,20,350,02546,353561,Kulhariya,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Kulhariya,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
353562,01080300,20,07,0002,01080300,Mahuadabar,20,350,02546,353562,Mahuadabar,Village Directory,mdds_e_governance_code_census_2011_plcn__mdds_plcn,census_2001_codes__plcn_2001,Mahuadabar,linked_2001_2011,2001-2011,CENSUS_MDDS_JH_2011,observed_crosswalk,A,2f3c82c05a46f8701f2a6f7496a5d6314ffcefa8ee858bdd9c5d0878858c38a0,Rdir_2001_MDDS_20.xls
