place_id,place_type,name,parent_place_id,state_code,state_name,district_code,district_name,subdistrict_code,subdistrict_name,block_code,block_name,panchayat_code,panchayat_name,village_code,village_name,latitude,longitude,valid_from,valid_to,source_id,quality_class,record_status
JH-VILL-347209,village,Gurur,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347209,Gurur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347210,village,Merauni Chherhat,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347210,Merauni Chherhat,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347211,village,Lohargara,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347211,Lohargara,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347212,village,Hurka,JH-SUBD-02497,20,Jharkhand,346,,02497,,,,,,347212,Hurka,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-SUBD-02498,subdistrict,Kandi,JH-DIST-346,20,Jharkhand,346,,02498,Kandi,,,,,,,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347213,village,Bhandaria,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347213,Bhandaria,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347214,village,Sohgara,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347214,Sohgara,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347215,village,Ranadih,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347215,Ranadih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347216,village,Rambandh,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347216,Rambandh,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347217,village,Kurkuta,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347217,Kurkuta,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347218,village,Madra Nisf Nizamat,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347218,Madra Nisf Nizamat,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347219,village,Checharia Khurd,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347219,Checharia Khurd,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347220,village,Checharia Kalan,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347220,Checharia Kalan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347221,village,Dhelka,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347221,Dhelka,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347222,village,Mainpura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347222,Mainpura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347223,village,Bahera,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347223,Bahera,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347224,village,Shivpur,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347224,Shivpur,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347225,village,Deodih,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347225,Deodih,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347226,village,Adhaura,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347226,Adhaura,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347227,village,Teliabandh,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347227,Teliabandh,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347228,village,Telia Nizamat,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347228,Telia Nizamat,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347229,village,Gardaha,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347229,Gardaha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347230,village,Gosang,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347230,Gosang,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347231,village,Khutheria,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347231,Khutheria,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347232,village,Kusha,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347232,Kusha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347233,village,Sanni,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347233,Sanni,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347234,village,Hariganwan,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347234,Hariganwan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347235,village,Sabua,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347235,Sabua,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347236,village,Patariha,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347236,Patariha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347237,village,Kirya,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347237,Kirya,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347238,village,Belopati,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347238,Belopati,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347239,village,Basu Khap,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347239,Basu Khap,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347240,village,Hundraha,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347240,Hundraha,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347241,village,Misraulia,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347241,Misraulia,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347242,village,Ghatahua Kalan,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347242,Ghatahua Kalan,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
JH-VILL-347243,village,Raja Ghatahua,JH-SUBD-02498,20,Jharkhand,346,,02498,,,,,,347243,Raja Ghatahua,,,2011,,CENSUS_LOCATION_DIR_2011,A,verified_source_ingest
